City,Cuisine,count
Amsterdam,European,1418
Amsterdam,Vegetarian Friendly,1307
Amsterdam,Dutch,805
Amsterdam,Vegan Options,524
Amsterdam,Gluten Free Options,497
Amsterdam,Bar,497
Amsterdam,Italian,364
Amsterdam,Asian,352
Amsterdam,International,345
Amsterdam,Mediterranean,337
Amsterdam,Cafe,317
Amsterdam,Pub,292
Amsterdam,French,204
Amsterdam,Pizza,182
Amsterdam,American,142
Amsterdam,Seafood,125
Amsterdam,Fast Food,117
Amsterdam,Japanese,113
Amsterdam,Steakhouse,112
Amsterdam,Chinese,92
Amsterdam,Sushi,86
Amsterdam,Grill,85
Amsterdam,Barbecue,84
Amsterdam,Spanish,81
Amsterdam,Healthy,81
Amsterdam,Middle Eastern,78
Amsterdam,Indonesian,74
Amsterdam,Indian,70
Amsterdam,Argentinean,68
Amsterdam,Thai,68
Amsterdam,Turkish,68
Amsterdam,South American,54
Amsterdam,Contemporary,52
Amsterdam,Halal,52
Amsterdam,Central European,50
Amsterdam,Fusion,50
Amsterdam,Soups,44
Amsterdam,Mexican,39
Amsterdam,Delicatessen,37
Amsterdam,Diner,33
Amsterdam,Greek,28
Amsterdam,Latin,27
Amsterdam,Vietnamese,24
Amsterdam,African,24
Amsterdam,Street Food,23
Amsterdam,Moroccan,23
Amsterdam,Wine Bar,21
Amsterdam,Gastropub,20
Amsterdam,British,18
Amsterdam,Lebanese,16
Amsterdam,Ethiopian,14
Amsterdam,Caribbean,14
Amsterdam,Belgian,13
Amsterdam,Portuguese,10
Amsterdam,Korean,10
Amsterdam,Nepali,10
Amsterdam,Central American,9
Amsterdam,Brazilian,9
Amsterdam,Arabic,9
Amsterdam,German,8
Amsterdam,Pakistani,8
Amsterdam,Irish,7
Amsterdam,Israeli,7
Amsterdam,Tibetan,6
Amsterdam,Persian,6
Amsterdam,Swiss,6
Amsterdam,Balti,5
Amsterdam,Australian,5
Amsterdam,Southwestern,5
Amsterdam,Jamaican,4
Amsterdam,Brew Pub,4
Amsterdam,Scandinavian,4
Amsterdam,Peruvian,4
Amsterdam,New Zealand,4
Amsterdam,Egyptian,4
Amsterdam,Hawaiian,4
Amsterdam,Swedish,3
Amsterdam,Kosher,3
Amsterdam,Afghani,3
Amsterdam,Eastern European,2
Amsterdam,Colombian,2
Amsterdam,Tunisian,2
Amsterdam,Malaysian,2
Amsterdam,Cajun & Creole,2
Amsterdam,Singaporean,2
Amsterdam,Minority Chinese,2
Amsterdam,Russian,1
Amsterdam,Danish,1
Amsterdam,Taiwanese,1
Amsterdam,Ecuadorean,1
Amsterdam,Romanian,1
Amsterdam,Cuban,1
Amsterdam,Central Asian,1
Amsterdam,Georgian,1
Amsterdam,Austrian,1
Amsterdam,Norwegian,1
Athens,Greek,903
Athens,Mediterranean,699
Athens,Vegetarian Friendly,430
Athens,Vegan Options,288
Athens,European,192
Athens,Cafe,146
Athens,Gluten Free Options,125
Athens,Bar,117
Athens,Italian,109
Athens,Pub,85
Athens,Fast Food,83
Athens,Seafood,74
Athens,Wine Bar,62
Athens,International,58
Athens,Pizza,52
Athens,Barbecue,51
Athens,Asian,49
Athens,American,48
Athens,Steakhouse,46
Athens,Grill,41
Athens,Diner,31
Athens,Indian,28
Athens,Sushi,26
Athens,Japanese,25
Athens,Middle Eastern,25
Athens,Healthy,25
Athens,Chinese,23
Athens,Contemporary,23
Athens,Street Food,20
Athens,French,20
Athens,Mexican,15
Athens,Delicatessen,11
Athens,Spanish,11
Athens,Gastropub,10
Athens,Brew Pub,9
Athens,Latin,9
Athens,Arabic,8
Athens,Turkish,8
Athens,Central American,8
Athens,Central European,8
Athens,Soups,8
Athens,Thai,7
Athens,Fusion,7
Athens,Eastern European,7
Athens,Halal,6
Athens,Lebanese,6
Athens,British,6
Athens,German,5
Athens,South American,4
Athens,Armenian,4
Athens,Bangladeshi,3
Athens,Czech,3
Athens,Pakistani,3
Athens,African,3
Athens,Russian,2
Athens,Peruvian,2
Athens,Ethiopian,2
Athens,Korean,2
Athens,Argentinean,2
Athens,Vietnamese,2
Athens,Brazilian,2
Athens,Caribbean,2
Athens,Scottish,1
Athens,Hawaiian,1
Athens,Kosher,1
Athens,Colombian,1
Athens,Moroccan,1
Athens,Egyptian,1
Athens,Australian,1
Athens,Venezuelan,1
Athens,Swiss,1
Athens,Irish,1
Athens,Azerbaijani,1
Athens,Romanian,1
Barcelona,Spanish,2962
Barcelona,Mediterranean,2953
Barcelona,Vegetarian Friendly,1969
Barcelona,European,1688
Barcelona,Vegan Options,1006
Barcelona,Gluten Free Options,901
Barcelona,Italian,574
Barcelona,Bar,537
Barcelona,Pizza,384
Barcelona,Cafe,375
Barcelona,Asian,366
Barcelona,Japanese,338
Barcelona,Fast Food,281
Barcelona,Seafood,281
Barcelona,Pub,278
Barcelona,International,263
Barcelona,Sushi,225
Barcelona,Fusion,224
Barcelona,Healthy,200
Barcelona,American,176
Barcelona,South American,174
Barcelona,Chinese,149
Barcelona,Latin,132
Barcelona,Contemporary,124
Barcelona,Mexican,124
Barcelona,Wine Bar,109
Barcelona,Argentinean,106
Barcelona,Barbecue,96
Barcelona,Delicatessen,91
Barcelona,Steakhouse,84
Barcelona,Middle Eastern,80
Barcelona,Gastropub,72
Barcelona,Indian,71
Barcelona,French,64
Barcelona,Halal,58
Barcelona,Peruvian,58
Barcelona,Street Food,54
Barcelona,Grill,54
Barcelona,Soups,49
Barcelona,Lebanese,47
Barcelona,Brew Pub,43
Barcelona,Thai,42
Barcelona,Diner,40
Barcelona,Turkish,35
Barcelona,Central American,35
Barcelona,Venezuelan,27
Barcelona,Caribbean,26
Barcelona,Brazilian,23
Barcelona,German,23
Barcelona,Korean,21
Barcelona,Greek,21
Barcelona,Colombian,20
Barcelona,Vietnamese,19
Barcelona,Moroccan,18
Barcelona,Pakistani,15
Barcelona,Central European,13
Barcelona,Eastern European,12
Barcelona,Cuban,11
Barcelona,British,11
Barcelona,Irish,11
Barcelona,African,10
Barcelona,Chilean,8
Barcelona,Belgian,8
Barcelona,Russian,7
Barcelona,Portuguese,7
Barcelona,Nepali,7
Barcelona,Israeli,7
